27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,1
27/06/2016,4
27/06/2016,23
27/06/2016,55
27/06/2016,84
27/06/2016,150
27/06/2016,274
27/06/2016,372
27/06/2016,521
27/06/2016,611
27/06/2016,676
27/06/2016,742
27/06/2016,857
27/06/2016,948
27/06/2016,1091
27/06/2016,1261
27/06/2016,1386
27/06/2016,1522
27/06/2016,1596
27/06/2016,1658
27/06/2016,1777
27/06/2016,1842
27/06/2016,1894
27/06/2016,1985
27/06/2016,2042
27/06/2016,2087
27/06/2016,2154
27/06/2016,2191
27/06/2016,2219
27/06/2016,2252
27/06/2016,2275
27/06/2016,2292
27/06/2016,2313
27/06/2016,2339
27/06/2016,2357
27/06/2016,2365
27/06/2016,2370
27/06/2016,2368
27/06/2016,2315
27/06/2016,2320
27/06/2016,2325
27/06/2016,2333
27/06/2016,2316
27/06/2016,2302
27/06/2016,2281
27/06/2016,2282
27/06/2016,2268
27/06/2016,2140
27/06/2016,2008
27/06/2016,1817
27/06/2016,939
27/06/2016,1572
27/06/2016,1964
27/06/2016,1815
27/06/2016,1760
27/06/2016,1716
27/06/2016,1641
27/06/2016,1571
27/06/2016,1488
27/06/2016,1178
27/06/2016,1246
27/06/2016,1260
27/06/2016,1005
27/06/2016,954
27/06/2016,897
27/06/2016,697
27/06/2016,696
27/06/2016,685
27/06/2016,589
27/06/2016,510
27/06/2016,448
27/06/2016,362
27/06/2016,293
27/06/2016,242
27/06/2016,196
27/06/2016,182
27/06/2016,171
27/06/2016,150
27/06/2016,139
27/06/2016,130
27/06/2016,111
27/06/2016,96
27/06/2016,84
27/06/2016,57
27/06/2016,38
27/06/2016,23
27/06/2016,1
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
27/06/2016,0
28/06/2016,0
28/06/2016,0
28/06/2016,0
28/06/2016,0
